,Tweets,Locations,Polarity,lenght
0, GIVEAWAY 1 winner of KWS TASTY album 1 winner of KWS slogan 2 winners of 50 pesos gcash money load Criteria,she her,0,108
1, KWS Kim Wooseok for 2nd Desire Tasty showcase press photo 1 KIMWOOSEOK 2ND DESIRE TASTY Sugar officia,she her,0,102
2, webinar on Construction amp Demolition Waste Management Rules 2016 Provisions amp Implementation on 15 02 21 at 11 00,India,-1,118
3,dda Ordinary Flats in 2 25 crores DDA should stop masquerading as Public Authority and be declared as builders I pray that only Andhbhakts are the lucky winners of these exorbitantly priced flats,,1,195
4,dda Surprisingly DDA does not know the measurement of single flat being offered in Sl No 1 and 2 And range has been given Take departmental action against the official who approved the area range,,1,195
5,dda Worse department dda no cleaning of road worse condition of road garbage the picture of DDA area I fighting from 2016 same situation nothing OFFICIAL,New Delhi Delhi,-1,153
6,dda Yes DDA has made mistake during preparation of result May reviewed again for the correct results,Bihar India,0,100
7,dda India sahibsingh IND Dear Sir we have not received any response,,0,67
8,dda plz help,,0,12
9,DDA Online Housing Scheme 2021 Details of LIG and EWS JANTA Flats and Tentative Cost Visit for more information DDAHousingScheme2021,New Delhi India,1,132
10,DDA Online Housing Scheme 2021 Details of 2 BHK HIG and MIG Flats and Tentative Cost Visit for more information DDAHousingScheme2021,New Delhi India,1,132
11,dda Report Corruption in Delhi Housing Societies to Clean House,New Delhi India,1,63
12, please watch KIM WOOSEOK SUGAR on youtube and listen to his album TASTY a lot Sugar 6 let s shower all our love a,,1,114
13,dda Local builders flat of same plinth area is cheaper than this with better specifications,New Delhi Delhi,1,91
14, Big mistake by dda during preparation of result normalization of score and shortlisting the candidates for Documents v,,0,119
15,DDA Online Housing Scheme 2021 Details of 3 BHK HIG Flats and Tentative Cost Visit for more information DDAHousingScheme2021,New Delhi India,1,124
16, Can t wait Right Tasty Yum Yum Right Tasty Yum Yum Click Sugar6 Ready KimWooseok SUGAR official,,1,96
17,dda OFFICIAL Day 3 complaint Let s see kab tak aap log action nai lata h OFFICIAL dda,New Delhi Delhi,-1,85
18,The condition of central verge and footpath UER ll road from barwala red light is very disheartening No cleaning of roads and central verge is done also the plants planted three years back have all dried up dda has to take an immediate action,,1,242
19,dda PLEASE give me the information about the upcoming DDA PATWARI mains exam pattern of general awareness section is there all GA question will come in the exam is only about Delhi related general knowledge question or some national GK question also come in the exam,,1,266
20,Sugar MV streaming relay Tag your friends dnwm luizyy Make sure to follow YouTube streaming guide amp don t forget to Thumbs up comment KIMWOOSEOK 2ND DESIRE TASTY official,she her,1,172
21, webinar on Construction amp Demolition Waste Management Rules 2016 Provisions amp Implementation on 15 02 21 at 11 00,,-1,118
22, The position worsened due to inattention of civic authorities location Behind Evergreen Aparments Sec 7 Dwarka,New Delhi India,-1,111
23,dda how many candidates are qualified in DDA JSA stage 3 exam please provide category wise,Jaipur India,1,90
24, webinar on Construction amp Demolition Waste Management Rules 2016 Provisions amp Implementation on 15 02 21 at 11 00,,-1,118
25,dda Review the result for dda so horticulture 2020,,0,50
26,dda Raised the issue on DDA311 app Complain 20210207000067177,Delhi India,0,61
27, webinar on Construction amp Demolition Waste Management Rules 2016 Provisions amp Implementation on 15 02 21 at 11 00,Jaipur,-1,118
28, webinar on Construction amp Demolition Waste Management Rules 2016 Provisions amp Implementation on 15 02 21 at 11 00,,-1,118
29, webinar on Construction amp Demolition Waste Management Rules 2016 Provisions amp Implementation on 15 02 21 at 11 00,New Delhi India,-1,118
30,Sir Why FIR has not been registered by so far agnst scamster amp other corrupt DDA officials even after 8 months on request made by CVO of dda Ref PE F 27 06 19 Vig AVO 12 863 Dt 19 06 2020 to SHO Kotla MubarakPur ND,New Delhi,-1,216
31, webinar on Construction amp Demolition Waste Management Rules 2016 Provisions amp Implementation on 15 02 21 at 11 00,,-1,118
32, Have dda and prepared list of pending ground rents and property taxes since last 6 years,,0,89
33, Dear Why FIR has not been registered by Delhi Police so far agnst scamster amp other corrupt DDA,,-1,97
34,dda dda AWAKE MR LG AND YOUR STAFF DDA MCD AND DELHI POLICE IT S STILL SLEEPING MORE THAN A MONTH NO ACTION TAKEN R U SERIOUS ABT UR JOB OR JUST A TIME PASS NO ACTION TAKEN PLEASE HELP OR GIVE ME YOUR NUMBER I WILL CALL YOU,Tilak Nagar New Delhi,1,223
35, webinar on Construction amp Demolition Waste Management Rules 2016 Provisions amp Implementation on 15 02 21 at 11 00,India,-1,118
